feature,importance
MonthlyIncome,0.12489838933211164
OverTime,0.08266976570885011
TotalWorkingYears,0.06427051493560484
Age,0.054014961128046456
NumCompaniesWorked,0.05397241477802672
DailyRate,0.05102856396189737
EnvironmentSatisfaction,0.047993959015592225
MonthlyRate,0.04670070487580374
HourlyRate,0.045700346974972765
DistanceFromHome,0.044948023045077584
JobRole,0.043515046886281085
WorkLifeBalance,0.04118143128257364
JobInvolvement,0.03755933267732444
StockOptionLevel,0.03412504197874023
JobSatisfaction,0.02872153766608545
YearsSinceLastPromotion,0.025366813332048266
YearsWithCurrManager,0.024148076250961614
TrainingTimesLastYear,0.02113604792507759
EducationField,0.020066757273307735
PercentSalaryHike,0.019896734715339127
RelationshipSatisfaction,0.018963685755325702
MaritalStatus,0.01572637683176024
YearsAtCompany,0.01547486222655213
BusinessTravel,0.009915896637626098
Department,0.008455975183872977
JobLevel,0.0067901468163113566
Education,0.0054439234453293244
YearsInCurrentRole,0.0044502543807369965
Gender,0.0026929324058550773
PerformanceRating,0.00017148257290761537
